"date","close","volume","open","high","low"
"2019/06/24","311.8300","2179641.0000","323.3400","324.4800","311.0500"
"2019/06/21","326.8500","1445982.0000","328.0000","331.3700","324.1000"
"2019/06/20","328.0100","3108849.0000","331.5000","338.9400","326.0000"
"2019/06/19","327.0200","2980158.0000","305.5100","327.6900","302.4000"
"2019/06/18","304.2100","1104873.0000","310.0000","311.3800","303.7400"
"2019/06/17","305.8500","703460.0000","304.4500","307.8799","303.0499"
"2019/06/14","305.1100","751400.0000","305.4100","306.4200","301.9400"
"2019/06/13","306.9900","1043365.0000","312.9100","314.0950","305.6400"
"2019/06/12","310.1400","1124636.0000","304.4800","312.7000","302.0000"
"2019/06/11","306.7100","1847784.0000","309.6000","311.5095","298.5700"
"2019/06/10","306.7300","1716089.0000","309.1500","315.5999","304.4400"
"2019/06/07","305.0500","2344717.0000","298.6600","309.3700","298.4000"
"2019/06/06","297.0600","1867314.0000","291.8400","299.1100","289.0100"
"2019/06/05","292.5200","2342135.0000","277.2200","292.8600","277.1200"
"2019/06/04","274.0000","1603045.0000","268.4700","274.1000","264.1100"
"2019/06/03","265.0000","2535764.0000","274.2800","277.5100","262.1700"
"2019/05/31","274.9000","1087785.0000","273.3600","278.9700","272.1600"
"2019/05/30","277.0500","1290936.0000","275.1000","277.8200","270.8000"
"2019/05/29","272.6800","1673842.0000","280.0000","280.3000","270.5200"
"2019/05/28","282.4300","1538915.0000","278.3500","285.9600","278.3000"
"2019/05/24","275.8500","1163667.0000","274.5000","278.8800","272.5150"
"2019/05/23","271.6200","1530324.0000","275.0000","277.9800","268.0000"
"2019/05/22","279.0000","1252042.0000","271.7100","280.9500","271.3900"
"2019/05/21","272.8100","1110351.0000","272.0400","273.5975","269.5100"
"2019/05/20","267.1900","1856148.0000","270.0300","273.0000","264.7400"
"2019/05/17","273.5000","1667475.0000","276.6800","279.4400","271.5800"
"2019/05/16","278.0100","2975667.0000","265.3600","279.4800","265.1000"
"2019/05/15","264.1600","1931635.0000","250.6100","265.4200","250.0400"
"2019/05/14","253.1500","2097137.0000","245.0000","254.0200","242.2300"
"2019/05/13","250.7900","1938822.0000","247.9100","253.0634","245.6200"
"2019/05/10","258.8300","1675280.0000","260.4300","262.9900","252.6400"
"2019/05/09","260.6200","1831284.0000","258.8800","261.3595","254.1200"
"2019/05/08","261.5100","1847475.0000","258.7000","264.6200","257.5100"
"2019/05/07","258.6900","2589364.0000","264.3600","266.5000","254.7000"
"2019/05/06","265.5200","2916946.0000","257.2000","266.7200","255.1200"
"2019/05/03","264.0300","3349941.0000","259.0000","266.4000","254.7900"
"2019/05/02","255.5400","4054159.0000","245.8800","260.8200","245.5000"
"2019/05/01","245.1600","3186659.0000","242.8500","252.3015","237.3900"
"2019/04/30","243.5300","6210851.0000","226.4400","247.5000","226.4400"
"2019/04/29","225.7900","1936434.0000","225.3300","228.7402","223.5300"
"2019/04/26","222.2800","1388541.0000","219.0000","225.1800","219.0000"
"2019/04/25","218.9700","1667268.0000","220.6900","222.1900","216.6200"
"2019/04/24","219.8100","2022828.0000","224.6000","224.6000","218.6236"
"2019/04/23","223.4400","1881259.0000","226.5000","227.3900","222.1000"
"2019/04/22","224.2900","1316106.0000","220.0000","225.9900","219.1700"
"2019/04/18","220.7200","1287160.0000","217.1300","220.7800","213.1300"
"2019/04/17","217.0500","1064016.0000","216.8000","218.3304","211.3100"
"2019/04/16","215.4000","1337189.0000","219.7800","221.8200","213.6100"
"2019/04/15","218.0300","1759418.0000","214.8300","219.9000","213.6200"
"2019/04/12","214.8300","1193033.0000","212.8200","214.9300","212.1100"
"2019/04/11","210.9900","1334644.0000","207.5800","211.5400","206.3100"
"2019/04/10","206.5000","879311.0000","204.3600","207.4400","202.5100"
"2019/04/09","203.9600","1247304.0000","198.2600","204.2200","197.3406"
"2019/04/08","200.2400","1290636.0000","196.6500","200.8900","195.3200"
"2019/04/05","196.6500","1489030.0000","195.5900","198.0200","194.8900"
"2019/04/04","194.7500","4761914.0000","204.5400","205.0100","190.3800"
"2019/04/03","205.1200","2010969.0000","201.9800","205.8000","198.8900"
"2019/04/02","201.4600","2453409.0000","205.6000","206.0500","198.4500"
"2019/04/01","206.0400","1103196.0000","208.4300","210.1000","203.1200"
"2019/03/29","206.6200","810130.0000","205.8800","207.5000","203.1900"
"2019/03/28","203.4500","1118443.0000","200.8300","203.7500","197.0000"
"2019/03/27","200.0800","1020256.0000","205.6600","205.7200","196.6100"
"2019/03/26","204.3700","1165788.0000","203.6300","207.4100","202.7300"
"2019/03/25","201.4500","1257538.0000","198.0500","202.7499","196.4700"
"2019/03/22","198.7500","1529421.0000","204.4000","204.6900","198.6100"
"2019/03/21","205.0000","1720939.0000","200.3200","205.1999","198.8150"
"2019/03/20","201.3400","1400552.0000","200.5300","203.1000","198.7300"
"2019/03/19","202.0900","2213177.0000","207.7000","208.0000","197.6528"
"2019/03/18","205.7700","1247413.0000","204.5000","205.9200","201.4500"
"2019/03/15","205.9800","2337269.0000","208.8700","209.4100","203.6198"
"2019/03/14","208.2300","1217386.0000","204.3200","209.5900","203.3900"
"2019/03/13","205.5100","1176307.0000","203.5000","206.9500","202.3600"
"2019/03/12","202.4700","1328781.0000","201.0000","203.7899","197.0500"
"2019/03/11","200.3900","2057314.0000","190.9900","200.7400","190.9900"
"2019/03/08","189.7600","1260735.0000","182.1800","190.0000","181.0000"
"2019/03/07","186.9400","734911.0000","186.5100","190.3800","184.8000"
"2019/03/06","187.3700","723751.0000","187.5000","188.7700","184.1100"
"2019/03/05","187.5000","1002901.0000","186.5700","189.1600","184.3500"
"2019/03/04","186.4700","1605052.0000","192.3800","194.8027","182.3700"
"2019/03/01","191.5200","1126225.0000","190.8500","192.7799","189.2922"
"2019/02/28","189.1500","865340.0000","188.2800","191.1300","187.4900"
"2019/02/27","189.2000","908197.0000","185.1700","189.2600","184.8000"
"2019/02/26","185.0300","1044620.0000","186.0800","187.9300","183.8500"
"2019/02/25","187.5000","1270857.0000","185.8200","188.7600","184.4800"
"2019/02/22","183.6300","1016619.0000","180.0000","183.6600","179.3568"
"2019/02/21","178.4700","969398.0000","179.6400","180.3590","177.1800"
"2019/02/20","179.2100","1330519.0000","181.6500","184.1900","177.4600"
"2019/02/19","181.3000","2281775.0000","177.0400","185.0700","177.0400"
"2019/02/15","178.1900","1127633.0000","177.1000","178.7200","173.7100"
"2019/02/14","176.5200","1605810.0000","171.0900","177.2400","169.5600"
"2019/02/13","172.0200","2972561.0000","178.1900","180.0000","171.0400"
"2019/02/12","175.5500","5914989.0000","163.6500","175.8900","160.6300"
"2019/02/11","173.1700","2215914.0000","178.0500","180.0000","172.9350"
"2019/02/08","175.9500","978900.0000","170.2200","176.9900","169.6000"
"2019/02/07","171.8000","1401621.0000","171.2800","174.1800","171.0878"
"2019/02/06","173.6000","736258.0000","172.3700","174.5000","170.7000"
"2019/02/05","173.5700","969496.0000","173.6500","176.8800","173.3600"
"2019/02/04","173.5500","1171018.0000","170.6200","174.6500","170.2600"
"2019/02/01","170.5900","1247798.0000","168.3600","171.0000","167.5100"
"2019/01/31","168.4700","1661394.0000","162.4700","169.6000","161.9201"
"2019/01/30","162.4300","712358.0000","159.9700","162.9800","158.0000"
"2019/01/29","157.1100","1040164.0000","160.0000","160.5000","154.5200"
"2019/01/28","159.4400","805868.0000","159.6800","161.1816","158.3800"
"2019/01/25","162.8200","980314.0000","160.0000","163.6400","159.7850"
"2019/01/24","158.4100","655216.0000","156.4800","159.4000","156.2500"
"2019/01/23","156.6000","793464.0000","158.2000","160.2000","154.4800"
"2019/01/22","156.2800","1036448.0000","157.2300","158.5700","154.1000"
"2019/01/18","158.4300","1142839.0000","160.0000","160.2300","157.6900"
"2019/01/17","157.6900","1242247.0000","156.6000","159.9800","155.8200"
"2019/01/16","158.2500","2142040.0000","155.7000","158.5900","153.3000"
"2019/01/15","154.3000","1638030.0000","149.5900","155.5400","149.5900"
"2019/01/14","149.1000","1455236.0000","147.2700","149.9300","144.6900"
"2019/01/11","149.4300","685254.0000","147.3100","150.0000","146.7100"
"2019/01/10","148.2700","965209.0000","146.3100","149.9700","144.5800"
"2019/01/09","148.6200","1275517.0000","146.5000","150.3300","144.4000"
"2019/01/08","145.4400","1366066.0000","147.6400","149.8200","144.0100"
"2019/01/07","144.3900","1257266.0000","139.6500","145.8500","138.7400"
"2019/01/04","138.0600","1365894.0000","134.5100","139.5000","133.1600"
"2019/01/03","129.7900","1215381.0000","134.7600","136.2600","129.4800"
"2019/01/02","137.6000","1228065.0000","134.0000","139.1400","131.1700"
"2018/12/31","138.4500","1684141.0000","136.0200","140.5340","135.0718"
"2018/12/28","133.4600","1374978.0000","134.1200","136.1300","129.4200"
"2018/12/27","132.4000","1449308.0000","126.4400","132.6000","125.0400"
"2018/12/26","130.2100","1622477.0000","121.3800","130.5500","121.3800"
"2018/12/24","119.1000","1306046.0000","118.9500","122.8700","117.6400"
"2018/12/21","122.4100","2483031.0000","128.3000","128.6300","121.8500"
"2018/12/20","127.7100","3429277.0000","131.2100","134.9613","121.5000"
"2018/12/19","133.1900","2688274.0000","135.0000","140.5300","131.6900"
"2018/12/18","134.3900","2564249.0000","133.6300","136.2000","131.6100"
"2018/12/17","129.6600","5012992.0000","139.9200","139.9200","128.7900"
"2018/12/14","140.1700","6370421.0000","147.9700","149.0200","140.0000"
"2018/12/13","161.0600","1232715.0000","160.9800","164.1300","159.4900"
"2018/12/12","160.0900","1410710.0000","157.9900","163.7700","157.4400"
"2018/12/11","154.6700","1529447.0000","154.9600","158.8300","153.1100"
"2018/12/10","151.5000","1247491.0000","146.0700","151.5900","143.9100"
"2018/12/07","146.8800","1636511.0000","156.9800","159.9000","145.2000"
"2018/12/06","156.9000","1638996.0000","143.0900","157.2700","142.3000"
"2018/12/04","150.2000","1481043.0000","155.0000","159.1000","149.3500"
"2018/12/03","156.3900","1496201.0000","156.5600","159.1000","154.0000"
"2018/11/30","152.6600","1071017.0000","149.0300","152.8900","147.8000"
"2018/11/29","149.0400","1124962.0000","150.0000","151.4600","146.2513"
"2018/11/28","149.9600","1255404.0000","146.4100","150.0200","145.0100"
"2018/11/27","144.4700","1055067.0000","142.0000","146.9000","141.7900"
"2018/11/26","144.4400","1581142.0000","137.8800","144.5200","137.4800"
"2018/11/23","134.8100","673109.0000","131.2700","136.1999","129.6455"
"2018/11/21","132.6100","1252539.0000","138.9700","140.1200","132.4600"
"2018/11/20","134.3500","2195147.0000","122.5200","136.4200","122.0000"
"2018/11/19","133.7500","2246943.0000","150.3000","151.2100","133.5900"
"2018/11/16","151.0200","1217657.0000","146.6700","151.5100","145.1300"
"2018/11/15","150.0900","1863838.0000","142.5200","151.2700","141.5000"
