"date","close","volume","open","high","low"
"2019/03/20","237.2200","233559.0000","235.6900","239.5700","235.6900"
"2019/03/19","235.6200","183902.0000","238.4700","238.4700","234.9800"
"2019/03/18","237.6400","227097.0000","234.0900","237.9000","234.0900"
"2019/03/15","233.4400","346181.0000","231.6900","234.6200","230.4700"
"2019/03/14","231.8100","195022.0000","230.6400","232.4600","229.2400"
"2019/03/13","230.4700","355821.0000","230.7300","233.8300","229.2300"
"2019/03/12","229.7800","257923.0000","227.1700","231.9100","225.7500"
"2019/03/11","227.1600","291132.0000","226.3100","229.1100","223.4900"
"2019/03/08","225.6700","309452.0000","224.6000","226.4200","222.3100"
"2019/03/07","225.4400","267747.0000","230.6300","234.7600","224.7400"
"2019/03/06","230.5200","279475.0000","234.5000","235.0100","228.4200"
"2019/03/05","233.9200","284871.0000","237.3200","238.6300","233.8100"
"2019/03/04","237.5600","250470.0000","242.9600","242.9600","237.0700"
"2019/03/01","243.0900","370539.0000","236.4500","244.5500","236.0600"
"2019/02/28","243.8800","319980.0000","244.9300","246.1400","242.6100"
"2019/02/27","244.5000","282537.0000","240.4700","246.0300","239.9455"
"2019/02/26","240.4500","269426.0000","240.7200","242.4900","239.8350"
"2019/02/25","241.3900","193383.0000","239.7200","242.1900","239.0300"
"2019/02/22","238.9700","224599.0000","235.0300","239.5100","233.9800"
"2019/02/21","235.1600","172871.0000","233.8600","235.4900","231.3700"
"2019/02/20","233.5700","197566.0000","232.6600","234.4200","230.6800"
"2019/02/19","232.5400","283926.0000","228.6900","234.3600","228.2950"
"2019/02/15","229.5100","382850.0000","227.4200","229.8950","224.8700"
"2019/02/14","226.7600","221615.0000","227.2600","228.0000","222.2300"
"2019/02/13","228.2300","185988.0000","226.5900","228.7600","226.1000"
"2019/02/12","225.4100","238400.0000","224.1300","226.0550","219.4100"
"2019/02/11","223.5600","201038.0000","221.0200","224.5800","220.7500"
"2019/02/08","220.6700","231718.0000","220.5100","222.5900","216.1055"
"2019/02/07","220.5100","256750.0000","217.8900","221.0400","216.2400"
"2019/02/06","218.8400","159179.0000","218.0900","220.6800","217.3500"
"2019/02/05","218.6400","181328.0000","215.6200","218.6800","214.7900"
"2019/02/04","216.4300","192962.0000","212.5400","217.6700","209.1600"
"2019/02/01","213.6200","270539.0000","218.3900","218.3900","212.3100"
"2019/01/31","214.7700","245050.0000","209.6100","215.0800","209.6100"
"2019/01/30","210.2200","430790.0000","212.0200","216.9600","207.1550"
"2019/01/29","213.5000","289872.0000","218.3500","218.4600","213.1400"
"2019/01/28","218.3000","159305.0000","218.6900","220.1100","217.3200"
"2019/01/25","219.4500","186215.0000","219.4700","221.8100","218.4600"
"2019/01/24","218.7500","210920.0000","219.7500","222.4000","218.3000"
"2019/01/23","219.8100","137963.0000","219.2300","221.4100","218.0000"
"2019/01/22","218.3000","250987.0000","218.6800","221.3000","216.5200"
"2019/01/18","219.1800","155592.0000","216.8600","220.9900","214.4414"
"2019/01/17","215.9900","348970.0000","216.0100","219.3300","215.2400"
"2019/01/16","216.2500","244549.0000","211.8200","217.2600","211.8200"
"2019/01/15","210.8800","395230.0000","208.4000","213.1700","207.1200"
"2019/01/14","207.5800","250805.0000","211.1800","212.9000","206.7900"
"2019/01/11","212.5900","242274.0000","212.0100","214.1500","210.7600"
"2019/01/10","212.6700","374354.0000","212.3300","214.5050","210.0600"
"2019/01/09","213.1400","237096.0000","217.9500","218.8000","212.7200"
"2019/01/08","216.6900","363542.0000","218.0800","219.7300","215.6950"
"2019/01/07","216.8600","361093.0000","214.5000","219.3900","209.5100"
"2019/01/04","214.3000","409008.0000","210.1000","214.8550","208.0800"
"2019/01/03","207.7600","170559.0000","208.5800","210.7900","206.9100"
"2019/01/02","209.2100","218616.0000","209.2700","212.2800","207.5700"
"2018/12/31","211.3100","156671.0000","208.6300","211.3200","206.6200"
"2018/12/28","207.5500","147371.0000","206.2200","211.6663","205.2000"
"2018/12/27","205.8500","200957.0000","203.2500","206.6600","200.2500"
"2018/12/26","204.4700","218142.0000","199.5900","204.7300","199.0400"
"2018/12/24","199.3300","153923.0000","204.0800","204.6300","199.2400"
"2018/12/21","204.8500","403137.0000","210.3100","213.1600","204.6000"
"2018/12/20","209.3800","345840.0000","211.8200","214.6900","208.8900"
"2018/12/19","213.0500","254382.0000","213.2500","220.6800","211.0300"
"2018/12/18","213.3700","301155.0000","219.8700","220.3600","212.9100"
"2018/12/17","219.3600","236060.0000","225.8800","226.1400","218.6800"
"2018/12/14","226.5000","251336.0000","228.4700","229.3850","224.9900"
"2018/12/13","229.3400","233665.0000","228.5400","231.3300","225.2800"
"2018/12/12","228.2700","223596.0000","230.2600","230.9390","221.7700"
"2018/12/11","228.6900","326948.0000","227.1000","230.4000","227.1000"
"2018/12/10","226.4000","303637.0000","223.5900","227.9900","222.5000"
"2018/12/07","224.7300","369590.0000","221.1800","225.0900","220.5500"
"2018/12/06","221.9100","504231.0000","221.3700","224.0900","217.1100"
"2018/12/04","221.9900","450838.0000","219.9800","224.8700","219.6800"
"2018/12/03","219.2900","292558.0000","212.8800","219.6500","212.5500"
"2018/11/30","217.7300","335072.0000","215.5300","219.6831","215.0400"
"2018/11/29","215.0500","206736.0000","215.0000","217.2700","211.1200"
"2018/11/28","216.0000","146124.0000","218.7800","220.5800","214.8550"
"2018/11/27","217.8300","158511.0000","213.9700","218.5100","213.7700"
"2018/11/26","215.1100","99862.0000","214.9200","218.6000","213.6150"
"2018/11/23","213.5000","51855.0000","213.2100","215.9250","212.9700"
"2018/11/21","214.8900","170901.0000","216.8500","217.4000","214.2400"
"2018/11/20","217.0300","299438.0000","212.9300","219.9400","210.3392"
"2018/11/19","214.6500","233782.0000","213.3000","217.6700","212.0200"
"2018/11/16","213.4700","96067.0000","208.2800","213.9600","208.2800"
"2018/11/15","210.0300","153763.0000","209.5900","210.8350","205.7500"
"2018/11/14","210.0900","185282.0000","209.2100","211.3600","209.2100"
"2018/11/13","207.7900","206415.0000","208.0000","209.6045","206.0550"
"2018/11/12","207.4000","195794.0000","208.2100","210.0000","205.9800"
"2018/11/09","208.4800","146848.0000","206.1200","209.0950","205.1750"
"2018/11/08","206.2200","218407.0000","207.8100","208.8100","203.5700"
"2018/11/07","208.0800","279312.0000","208.1500","209.2100","205.7311"
"2018/11/06","207.2600","244195.0000","206.3800","210.0100","203.3200"
"2018/11/05","207.0900","256985.0000","208.0000","209.9500","206.3900"
"2018/11/02","213.7900","277176.0000","209.6000","215.3300","207.9450"
